地名,センター,燃やせるごみ,カン／紙ごみ,ビン・ペットボトル／プラスチック,燃える粗大ごみ,燃えないごみ／燃えない粗大ごみ
原口（燃やせるごみ：午前）,千軒,水 土,20250310 20250327 20250410 20250424 20250515 20250529 20250609 20250623 20250710 20250724 20250814 20250825 20250908 20250925 20251016 20251027 20251113 20251127 20251208 20251222 20260119 20260129 20260209 20260226 20260309 20260326,20250311 20250328 20250411 20250425 20250516 20250530 20250610 20250624 20250711 20250725 20250815 20250826 20250909 20250926 20251017 20251028 20251114 20251128 20251209 20251223 20260120 20260130 20260210 20260227 20260310 20260327,20250312 20250409 20250507 20250611 20250709 20250806 20250910 20251008 20251105 20251210 20260113 20260212 20260311,20250326 20250428 20250528 20250627 20250730 20250827 20250929 20251029 20251126 20251226 20260128 20260225 20260330
江良,千軒,水 土,20250310 20250327 20250410 20250424 20250515 20250529 20250609 20250623 20250710 20250724 20250814 20250825 20250908 20250925 20251016 20251027 20251113 20251127 20251208 20251222 20260119 20260129 20260209 20260226 20260309 20260326,20250311 20250328 20250411 20250425 20250516 20250530 20250610 20250624 20250711 20250725 20250815 20250826 20250909 20250926 20251017 20251028 20251114 20251128 20251209 20251223 20260120 20260130 20260210 20260227 20260310 20260327,20250312 20250409 20250507 20250611 20250709 20250806 20250910 20251008 20251105 20251210 20260113 20260212 20260311,20250326 20250428 20250528 20250627 20250730 20250827 20250929 20251029 20251126 20251226 20260128 20260225 20260330
清部,千軒,月 木,20250310 20250327 20250410 20250424 20250515 20250529 20250609 20250623 20250710 20250724 20250814 20250825 20250908 20250925 20251016 20251027 20251113 20251127 20251208 20251222 20260119 20260129 20260209 20260226 20260309 20260326,20250311 20250328 20250411 20250425 20250516 20250530 20250610 20250624 20250711 20250725 20250815 20250826 20250909 20250926 20251017 20251028 20251114 20251128 20251209 20251223 20260120 20260130 20260210 20260227 20260310 20260327,20250312 20250409 20250507 20250611 20250709 20250806 20250910 20251008 20251105 20251210 20260113 20260212 20260311,20250326 20250428 20250528 20250627 20250730 20250827 20250929 20251029 20251126 20251226 20260128 20260225 20260330
茂草,千軒,月 木,20250303 20250317 20250403 20250417 20250508 20250522 20250602 20250616 20250703 20250714 20250804 20250818 20250901 20250911 20251006 20251020 20251106 20251117 20251201 20251215 20260108 20260122 20260202 20260216 20260302 20260316,20250304 20250318 20250404 20250418 20250509 20250523 20250603 20250617 20250704 20250715 20250805 20250819 20250902 20250912 20251007 20251021 20251107 20251118 20251202 20251216 20260109 20260123 20260203 20260217 20260303 20260317,20250312 20250409 20250507 20250611 20250709 20250806 20250910 20251008 20251105 20251210 20260113 20260212 20260311,20250326 20250428 20250528 20250627 20250730 20250827 20250929 20251029 20251126 20251226 20260128 20260225 20260330
静浦,千軒,月 木,20250303 20250317 20250403 20250417 20250508 20250522 20250602 20250616 20250703 20250714 20250804 20250818 20250901 20250911 20251006 20251020 20251106 20251117 20251201 20251215 20260108 20260122 20260202 20260216 20260302 20260316,20250304 20250318 20250404 20250418 20250509 20250523 20250603 20250617 20250704 20250715 20250805 20250819 20250902 20250912 20251007 20251021 20251107 20251118 20251202 20251216 20260109 20260123 20260203 20260217 20260303 20260317,20250312 20250409 20250507 20250611 20250709 20250806 20250910 20251008 20251105 20251210 20260113 20260212 20260311,20250326 20250428 20250528 20250627 20250730 20250827 20250929 20251029 20251126 20251226 20260128 20260225 20260330
赤神,千軒,月 木,20250303 20250317 20250403 20250417 20250508 20250522 20250602 20250616 20250703 20250714 20250804 20250818 20250901 20250911 20251006 20251020 20251106 20251117 20251201 20251215 20260108 20260122 20260202 20260216 20260302 20260316,20250304 20250318 20250404 20250418 20250509 20250523 20250603 20250617 20250704 20250715 20250805 20250819 20250902 20250912 20251007 20251021 20251107 20251118 20251202 20251216 20260109 20260123 20260203 20260217 20260303 20260317,20250312 20250409 20250507 20250611 20250709 20250806 20250910 20251008 20251105 20251210 20260113 20260212 20260311,20250326 20250428 20250528 20250627 20250730 20250827 20250929 20251029 20251126 20251226 20260128 20260225 20260330
札前,千軒,月 木,20250303 20250317 20250403 20250417 20250508 20250522 20250602 20250616 20250703 20250714 20250804 20250818 20250901 20250911 20251006 20251020 20251106 20251117 20251201 20251215 20260108 20260122 20260202 20260216 20260302 20260316,20250304 20250318 20250404 20250418 20250509 20250523 20250603 20250617 20250704 20250715 20250805 20250819 20250902 20250912 20251007 20251021 20251107 20251118 20251202 20251216 20260109 20260123 20260203 20260217 20260303 20260317,20250312 20250409 20250507 20250611 20250709 20250806 20250910 20251008 20251105 20251210 20260113 20260212 20260311,20250326 20250428 20250528 20250627 20250730 20250827 20250929 20251029 20251126 20251226 20260128 20260225 20260330
館浜,千軒,月 木,20250303 20250317 20250403 20250417 20250508 20250522 20250602 20250616 20250703 20250714 20250804 20250818 20250901 20250911 20251006 20251020 20251106 20251117 20251201 20251215 20260108 20260122 20260202 20260216 20260302 20260316,20250304 20250318 20250404 20250418 20250509 20250523 20250603 20250617 20250704 20250715 20250805 20250819 20250902 20250912 20251007 20251021 20251107 20251118 20251202 20251216 20260109 20260123 20260203 20260217 20260303 20260317,20250312 20250409 20250507 20250611 20250709 20250806 20250910 20251008 20251105 20251210 20260113 20260212 20260311,20250326 20250428 20250528 20250627 20250730 20250827 20250929 20251029 20251126 20251226 20260128 20260225 20260330
建石,千軒,水 土,20250306 20250324 20250407 20250421 20250512 20250526 20250605 20250619 20250707 20250717 20250807 20250821 20250904 20250918 20251009 20251023 20251110 20251120 20251204 20251218 20260115 20260126 20260205 20260219 20260305 20260323,20250307 20250325 20250408 20250422 20250513 20250527 20250606 20250620 20250708 20250718 20250808 20250822 20250905 20250919 20251010 20251024 20251111 20251121 20251205 20251219 20260116 20260127 20260206 20260220 20260306 20260324,20250305 20250402 20250501 20250604 20250702 20250801 20250903 20251001 20251104 20251203 20260107 20260204 20260304,20250319 20250423 20250521 20250625 20250723 20250820 20250924 20251022 20251119 20251224 20260121 20260224 20260325
弁天,千軒,火 金,20250306 20250324 20250407 20250421 20250512 20250526 20250605 20250619 20250707 20250717 20250807 20250821 20250904 20250918 20251009 20251023 20251110 20251120 20251204 20251218 20260115 20260126 20260205 20260219 20260305 20260323,20250307 20250325 20250408 20250422 20250513 20250527 20250606 20250620 20250708 20250718 20250808 20250822 20250905 20250919 20251010 20251024 20251111 20251121 20251205 20251219 20260116 20260127 20260206 20260220 20260306 20260324,20250305 20250402 20250501 20250604 20250702 20250801 20250903 20251001 20251104 20251203 20260107 20260204 20260304,20250319 20250423 20250521 20250625 20250723 20250820 20250924 20251022 20251119 20251224 20260121 20260224 20260325
大磯,千軒,火 金,20250306 20250324 20250407 20250421 20250512 20250526 20250605 20250619 20250707 20250717 20250807 20250821 20250904 20250918 20251009 20251023 20251110 20251120 20251204 20251218 20260115 20260126 20260205 20260219 20260305 20260323,20250307 20250325 20250408 20250422 20250513 20250527 20250606 20250620 20250708 20250718 20250808 20250822 20250905 20250919 20251010 20251024 20251111 20251121 20251205 20251219 20260116 20260127 20260206 20260220 20260306 20260324,20250305 20250402 20250501 20250604 20250702 20250801 20250903 20251001 20251104 20251203 20260107 20260204 20260304,20250319 20250423 20250521 20250625 20250723 20250820 20250924 20251022 20251119 20251224 20260121 20260224 20260325
博多,千軒,火 金,20250306 20250324 20250407 20250421 20250512 20250526 20250605 20250619 20250707 20250717 20250807 20250821 20250904 20250918 20251009 20251023 20251110 20251120 20251204 20251218 20260115 20260126 20260205 20260219 20260305 20260323,20250307 20250325 20250408 20250422 20250513 20250527 20250606 20250620 20250708 20250718 20250808 20250822 20250905 20250919 20251010 20251024 20251111 20251121 20251205 20251219 20260116 20260127 20260206 20260220 20260306 20260324,20250305 20250402 20250501 20250604 20250702 20250801 20250903 20251001 20251104 20251203 20260107 20260204 20260304,20250319 20250423 20250521 20250625 20250723 20250820 20250924 20251022 20251119 20251224 20260121 20260224 20260325
